# Summary stats for batch processing of regression models
# timestamp: 2018-03-28 15:28:30
# LPB
# -------------------------

"ID","fileName","slope","pval","r2"
1,"ranFile001.csv",NA,NA,NA
2,"ranFile002.csv",NA,NA,NA
3,"ranFile003.csv",NA,NA,NA
4,"ranFile004.csv",NA,NA,NA
5,"ranFile005.csv",NA,NA,NA
6,"ranFile006.csv",NA,NA,NA
7,"ranFile007.csv",NA,NA,NA
8,"ranFile008.csv",NA,NA,NA
9,"ranFile009.csv",NA,NA,NA
10,"ranFile010.csv",NA,NA,NA
11,"ranFile011.csv",NA,NA,NA
12,"ranFile012.csv",NA,NA,NA
13,"ranFile013.csv",NA,NA,NA
14,"ranFile014.csv",NA,NA,NA
15,"ranFile015.csv",NA,NA,NA
16,"ranFile016.csv",NA,NA,NA
17,"ranFile017.csv",NA,NA,NA
18,"ranFile018.csv",NA,NA,NA
19,"ranFile019.csv",NA,NA,NA
20,"ranFile020.csv",NA,NA,NA
21,"ranFile021.csv",NA,NA,NA
22,"ranFile022.csv",NA,NA,NA
23,"ranFile023.csv",NA,NA,NA
24,"ranFile024.csv",NA,NA,NA
25,"ranFile025.csv",NA,NA,NA
26,"ranFile026.csv",NA,NA,NA
27,"ranFile027.csv",NA,NA,NA
28,"ranFile028.csv",NA,NA,NA
29,"ranFile029.csv",NA,NA,NA
30,"ranFile030.csv",NA,NA,NA
31,"ranFile031.csv",NA,NA,NA
32,"ranFile032.csv",NA,NA,NA
33,"ranFile033.csv",NA,NA,NA
34,"ranFile034.csv",NA,NA,NA
35,"ranFile035.csv",NA,NA,NA
36,"ranFile036.csv",NA,NA,NA
37,"ranFile037.csv",NA,NA,NA
38,"ranFile038.csv",NA,NA,NA
39,"ranFile039.csv",NA,NA,NA
40,"ranFile040.csv",NA,NA,NA
41,"ranFile041.csv",NA,NA,NA
42,"ranFile042.csv",NA,NA,NA
43,"ranFile043.csv",NA,NA,NA
44,"ranFile044.csv",NA,NA,NA
45,"ranFile045.csv",NA,NA,NA
46,"ranFile046.csv",NA,NA,NA
47,"ranFile047.csv",NA,NA,NA
48,"ranFile048.csv",NA,NA,NA
49,"ranFile049.csv",NA,NA,NA
50,"ranFile050.csv",NA,NA,NA
51,"ranFile051.csv",NA,NA,NA
52,"ranFile052.csv",NA,NA,NA
53,"ranFile053.csv",NA,NA,NA
54,"ranFile054.csv",NA,NA,NA
55,"ranFile055.csv",NA,NA,NA
56,"ranFile056.csv",NA,NA,NA
57,"ranFile057.csv",NA,NA,NA
58,"ranFile058.csv",NA,NA,NA
59,"ranFile059.csv",NA,NA,NA
60,"ranFile060.csv",NA,NA,NA
61,"ranFile061.csv",NA,NA,NA
62,"ranFile062.csv",NA,NA,NA
63,"ranFile063.csv",NA,NA,NA
64,"ranFile064.csv",NA,NA,NA
65,"ranFile065.csv",NA,NA,NA
66,"ranFile066.csv",NA,NA,NA
67,"ranFile067.csv",NA,NA,NA
68,"ranFile068.csv",NA,NA,NA
69,"ranFile069.csv",NA,NA,NA
70,"ranFile070.csv",NA,NA,NA
71,"ranFile071.csv",NA,NA,NA
72,"ranFile072.csv",NA,NA,NA
73,"ranFile073.csv",NA,NA,NA
74,"ranFile074.csv",NA,NA,NA
75,"ranFile075.csv",NA,NA,NA
76,"ranFile076.csv",NA,NA,NA
77,"ranFile077.csv",NA,NA,NA
78,"ranFile078.csv",NA,NA,NA
79,"ranFile079.csv",NA,NA,NA
80,"ranFile080.csv",NA,NA,NA
81,"ranFile081.csv",NA,NA,NA
82,"ranFile082.csv",NA,NA,NA
83,"ranFile083.csv",NA,NA,NA
84,"ranFile084.csv",NA,NA,NA
85,"ranFile085.csv",NA,NA,NA
86,"ranFile086.csv",NA,NA,NA
87,"ranFile087.csv",NA,NA,NA
88,"ranFile088.csv",NA,NA,NA
89,"ranFile089.csv",NA,NA,NA
90,"ranFile090.csv",NA,NA,NA
91,"ranFile091.csv",NA,NA,NA
92,"ranFile092.csv",NA,NA,NA
93,"ranFile093.csv",NA,NA,NA
94,"ranFile094.csv",NA,NA,NA
95,"ranFile095.csv",NA,NA,NA
96,"ranFile096.csv",NA,NA,NA
97,"ranFile097.csv",NA,NA,NA
98,"ranFile098.csv",NA,NA,NA
99,"ranFile099.csv",NA,NA,NA
100,"ranFile100.csv",NA,NA,NA
